midi_file,path,composer,piano_roll_file
Bwv0806 English Suite n1 07mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 07mov .npy
Bwv0532 Toccata and Fugue.mid,./data/Bach/,Bach,Bwv0532 Toccata and Fugue.npy
Piano version of Bachs two part inventions No.11.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.11.npy
"Prelude and Fugue in A, BWV 888.mid",./data/Bach/,Bach,"Prelude and Fugue in A, BWV 888.npy"
"Toccata and Fugue in D minor, BWV 565. (Busoni Piano Arr.mid",./data/Bach/,Bach,"Toccata and Fugue in D minor, BWV 565. (Busoni Piano Arr.npy"
Bwv0811 English Suite n6 5mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 5mov.npy
Bwv0594 Vivaldi Concerto Arrangement RV208.mid,./data/Bach/,Bach,Bwv0594 Vivaldi Concerto Arrangement RV208.npy
Piano version of Bachs two part inventions No.13.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.13.npy
Bwv0934 Little Prelude n2.mid,./data/Bach/,Bach,Bwv0934 Little Prelude n2.npy
Bwv1005 Violin Sonata n3 1mov Adagio.mid,./data/Bach/,Bach,Bwv1005 Violin Sonata n3 1mov Adagio.npy
Piano version of Bachs two part inventions No.12.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.12.npy
Bwv0528 Sonate en trio n4.mid,./data/Bach/,Bach,Bwv0528 Sonate en trio n4.npy
Bwv0936 Little Prelude n4.mid,./data/Bach/,Bach,Bwv0936 Little Prelude n4.npy
Bwv0811 English Suite n6 7mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 7mov.npy
Bwv0566 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0566 Prelude and Fugue.npy
Bwv1005 Violin Sonata n3 4mov Allegro.mid,./data/Bach/,Bach,Bwv1005 Violin Sonata n3 4mov Allegro.npy
Bwv0563 Fantasie con imitation.mid,./data/Bach/,Bach,Bwv0563 Fantasie con imitation.npy
Bwv0540 Toccata and Fugue.mid,./data/Bach/,Bach,Bwv0540 Toccata and Fugue.npy
Bwv0806 English Suite n1 06mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 06mov .npy
Bwv0538 Toccata and Fugue ''Dorian''.mid,./data/Bach/,Bach,Bwv0538 Toccata and Fugue ''Dorian''.npy
Piano version of Bachs two part inventions No.15.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.15.npy
Bwv0997 Partita for Lute 4mov.mid,./data/Bach/,Bach,Bwv0997 Partita for Lute 4mov.npy
Piano version of Bachs two part inventions No.14.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.14.npy
Wtcii22b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii22b.npy
Wtcii18b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii18b.npy
Wtcii14b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii14b.npy
Wtcii02b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii02b.npy
Wtcii03b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii03b.npy
Wtcii15b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii15b.npy
Wtcii19b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii19b.npy
Wtcii23b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii23b.npy
Wtcii24a.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii24a.npy
Wtcii12b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii12b.npy
Wtcii04b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii04b.npy
Wtcii24b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii24b.npy
Wtcii08b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii08b.npy
Wtcii09b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii09b.npy
Wtcii05b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii05b.npy
Wtcii13b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii13b.npy
Wtcii06b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii06b.npy
Wtcii10b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii10b.npy
Wtcii10a.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii10a.npy
Wtcii11a.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii11a.npy
Wtcii11b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii11b.npy
Wtcii07b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii07b.npy
Wtcii20b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii20b.npy
Wtcii16b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii16b.npy
Wtcii17b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii17b.npy
Wtcii01b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii01b.npy
Wtcii21b.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii21b.npy
Wtcii01a.mid,./data/Bach/Bwv870-893 The Well Tempered Clavier Book 2,Bach,Wtcii01a.npy
17. Bass Aria Et In Spritum .mid,./data/Bach/Bwv232 Mass,Bach,17. Bass Aria Et In Spritum .npy
21. Benedictus .mid,./data/Bach/Bwv232 Mass,Bach,21. Benedictus .npy
12. Chor Credo In Unum Deum .mid,./data/Bach/Bwv232 Mass,Bach,12. Chor Credo In Unum Deum .npy
11. Chor Cum Sancto .mid,./data/Bach/Bwv232 Mass,Bach,11. Chor Cum Sancto .npy
20. Osanna .mid,./data/Bach/Bwv232 Mass,Bach,20. Osanna .npy
06. Chor Gratias Animus Tibi .mid,./data/Bach/Bwv232 Mass,Bach,06. Chor Gratias Animus Tibi .npy
14. Duet In Unum .mid,./data/Bach/Bwv232 Mass,Bach,14. Duet In Unum .npy
02. Christe Eleison .mid,./data/Bach/Bwv232 Mass,Bach,02. Christe Eleison .npy
03. Kyrie Eleison .mid,./data/Bach/Bwv232 Mass,Bach,03. Kyrie Eleison .npy
08. Chor Qui Tollis .mid,./data/Bach/Bwv232 Mass,Bach,08. Chor Qui Tollis .npy
10. Aria Quoniam.mid,./data/Bach/Bwv232 Mass,Bach,10. Aria Quoniam.npy
01. Kyrie Eleison .mid,./data/Bach/Bwv232 Mass,Bach,01. Kyrie Eleison .npy
22. Agnus Dei.mid,./data/Bach/Bwv232 Mass,Bach,22. Agnus Dei.npy
23. Donna Nobis Pacem .mid,./data/Bach/Bwv232 Mass,Bach,23. Donna Nobis Pacem .npy
07. Duet Domine Deus .mid,./data/Bach/Bwv232 Mass,Bach,07. Duet Domine Deus .npy
05. Aria For Soprano .mid,./data/Bach/Bwv232 Mass,Bach,05. Aria For Soprano .npy
16. Et Ressurexit.mid,./data/Bach/Bwv232 Mass,Bach,16. Et Ressurexit.npy
04. Chor Gloria In Exelcis .mid,./data/Bach/Bwv232 Mass,Bach,04. Chor Gloria In Exelcis .npy
19. Sanctus .mid,./data/Bach/Bwv232 Mass,Bach,19. Sanctus .npy
13. Chor Patrem Omnipotentem .mid,./data/Bach/Bwv232 Mass,Bach,13. Chor Patrem Omnipotentem .npy
18. Confiteor.mid,./data/Bach/Bwv232 Mass,Bach,18. Confiteor.npy
09. Aria Qui Sedes.mid,./data/Bach/Bwv232 Mass,Bach,09. Aria Qui Sedes.npy
15. Et Incarnatus & Cricifixus.mid,./data/Bach/Bwv232 Mass,Bach,15. Et Incarnatus & Cricifixus.npy
Bwv1044 Flute Violin and Harpsichord Concerto 2mov.mid,./data/Bach/Concertos,Bach,Bwv1044 Flute Violin and Harpsichord Concerto 2mov.npy
Bwv1046 Brandenburg Concert n1 2mov.mid,./data/Bach/Concertos,Bach,Bwv1046 Brandenburg Concert n1 2mov.npy
Bwv1041 Violin Concerto n1 2mov.mid,./data/Bach/Concertos,Bach,Bwv1041 Violin Concerto n1 2mov.npy
Bwv1043 Two Violins Concerto n3 1mov.mid,./data/Bach/Concertos,Bach,Bwv1043 Two Violins Concerto n3 1mov.npy
Bwv1047 Brandenburg Concert n2 2mov.mid,./data/Bach/Concertos,Bach,Bwv1047 Brandenburg Concert n2 2mov.npy
Bwv1051 Brandenburg Concert n6 2mov.mid,./data/Bach/Concertos,Bach,Bwv1051 Brandenburg Concert n6 2mov.npy
Bwv1042 Violin Concerto n2 2mov.mid,./data/Bach/Concertos,Bach,Bwv1042 Violin Concerto n2 2mov.npy
Bwv1048 Brandenburg Concert n3 1mov.mid,./data/Bach/Concertos,Bach,Bwv1048 Brandenburg Concert n3 1mov.npy
Bwv1043 Two Violins Concerto n3 3mov.mid,./data/Bach/Concertos,Bach,Bwv1043 Two Violins Concerto n3 3mov.npy
Bwv1049 Brandenburg Concert n4 2mov.mid,./data/Bach/Concertos,Bach,Bwv1049 Brandenburg Concert n4 2mov.npy
Bwv1041 Violin Concerto n1 1mov.mid,./data/Bach/Concertos,Bach,Bwv1041 Violin Concerto n1 1mov.npy
Bwv1046 Brandenburg Concert n1 1mov.mid,./data/Bach/Concertos,Bach,Bwv1046 Brandenburg Concert n1 1mov.npy
Bwv1044 Flute Violin and Harpsichord Concerto 3mov.mid,./data/Bach/Concertos,Bach,Bwv1044 Flute Violin and Harpsichord Concerto 3mov.npy
Bwv1044 Flute Violin and Harpsichord Concerto 1mov.mid,./data/Bach/Concertos,Bach,Bwv1044 Flute Violin and Harpsichord Concerto 1mov.npy
Bwv1046 Brandenburg Concert n1 3mov.mid,./data/Bach/Concertos,Bach,Bwv1046 Brandenburg Concert n1 3mov.npy
Bwv1041 Violin Concerto n1 3mov.mid,./data/Bach/Concertos,Bach,Bwv1041 Violin Concerto n1 3mov.npy
Bwv1051 Brandenburg Concert n6 3mov.mid,./data/Bach/Concertos,Bach,Bwv1051 Brandenburg Concert n6 3mov.npy
Bwv1042 Violin Concerto n2 1mov.mid,./data/Bach/Concertos,Bach,Bwv1042 Violin Concerto n2 1mov.npy
Bwv1049 Brandenburg Concert n4 1mov.mid,./data/Bach/Concertos,Bach,Bwv1049 Brandenburg Concert n4 1mov.npy
Bwv1047 Brandenburg Concert n2 3mov.mid,./data/Bach/Concertos,Bach,Bwv1047 Brandenburg Concert n2 3mov.npy
Bwv1047 Brandenburg Concert n2 1mov.mid,./data/Bach/Concertos,Bach,Bwv1047 Brandenburg Concert n2 1mov.npy
Bwv1049 Brandenburg Concert n4 3mov.mid,./data/Bach/Concertos,Bach,Bwv1049 Brandenburg Concert n4 3mov.npy
Bwv1043 Two Violins Concerto n3 2mov.mid,./data/Bach/Concertos,Bach,Bwv1043 Two Violins Concerto n3 2mov.npy
Bwv1051 Brandenburg Concert n6 1mov.mid,./data/Bach/Concertos,Bach,Bwv1051 Brandenburg Concert n6 1mov.npy
Bwv1042 Violin Concerto n2 3mov.mid,./data/Bach/Concertos,Bach,Bwv1042 Violin Concerto n2 3mov.npy
042100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042100b_.npy
043100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043100b_.npy
027400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,027400b_.npy
026400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,026400b_.npy
006206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,006206b_.npy
007206b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007206b_.npy
024432b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024432b_.npy
013703b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013703b_.npy
004705b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,004705b_.npy
Bwv025.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv025.6.npy
076904b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,076904b_.npy
016806b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,016806b_.npy
040900bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,040900bv.npy
Bwv018a.5.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv018a.5.npy
017206vn.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017206vn.npy
012506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,012506b_.npy
013506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013506b_.npy
033300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,033300b_.npy
032300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,032300b_.npy
035100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035100b_.npy
034100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034100b_.npy
066200b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,066200b_.npy
024828b3.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024828b3.npy
014706b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,014706b_.npy
008606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,008606b_.npy
060800qt .mid,./data/Bach/Bwv001- 400 Chorales,Bach,060800qt .npy
009606b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009606b_.npy
029000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029000b_.npy
Bwv001.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv001.6.npy
028000b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028000b_.npy
009507b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,009507b_.npy
109100b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,109100b_.npy
022902b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,022902b_.npy
Bwv029.8.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv029.8.npy
065400b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,065400b_.npy
016106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,016106b_.npy
Bwv003.6.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv003.6.npy
017106b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,017106b_.npy
037700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,037700b_.npy
036700b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,036700b_.npy
043800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,043800b_.npy
007807b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007807b_.npy
042800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,042800b_.npy
011007b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,011007b_.npy
031500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,031500b_.npy
030500b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,030500b_.npy
022709b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,022709b_.npy
010306b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010306b_.npy
Bwv018.5.mid,./data/Bach/Bwv001- 400 Chorales,Bach,Bwv018.5.npy
010406bv.mid,./data/Bach/Bwv001- 400 Chorales,Bach,010406bv.npy
024817b2.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024817b2.npy
034800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,034800b_.npy
035800b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,035800b_.npy
024833b3.mid,./data/Bach/Bwv001- 400 Chorales,Bach,024833b3.npy
028900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,028900b_.npy
007514b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007514b_.npy
029900b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,029900b_.npy
039300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,039300b_.npy
038300b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,038300b_.npy
018506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,018506b_.npy
019506b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,019506b_.npy
007903b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,007903b_.npy
013701b_.mid,./data/Bach/Bwv001- 400 Chorales,Bach,013701b_.npy
